id,barcode,name
830,7790697001055,"galletitas crackers, RC"
831,7790077000067,Pozo
832,7798126071747,gaona
833,7790045823575,"Avena instantánea, Granix"
834,7791875000150,"Tableta 70% Cacao, Havanna"
835,7790895643811,"Ades sabor Coco, Ades"
836,7790040613607,"Alfajor blanco, Bon o Bon,Arcor"
837,7798260050233,"Aceite de coco, chia graal"
838,7891167011724,"Atum em Pedaços ao Natural, Gomes da Costa"
839,7896041156010,"Milho Verde em conserva, Oderich"
840,7798126071334,"Masitas azucaradas, Gaona"
841,7793046007791,"CormilloT frutilla Light, Dulcor,Cormillot"
842,7791118000749,"Malta, Maltifé"
843,01552900,Paseo marineras
844,7792290278568,"Pure de tomate Monte Nevi, "
845,7793123160265,"Oblita sabor vainilla, Oblita"
846,7790895643859,"Soja sabor Natural, Ades"
847,8480017066923,"flan, Dia"
848,83739934,Royal postre sabor a chocolate
849,7790742104403,"Dulce de Leche Estilo Colonial, La Serenísima"
850,8480017555663,"obleas rellenas sabor frutilla Dia, Dia"
851,7790580120092,"50% cocao, Arcor"
852,7793046008415,"Mermelada de Durazno, Dulcor"
853,7791351000643,"Pan con mix de semillas, Green Mills"
854,7790499000867,"La banda Champiñones en trozos, La Banda"
855,8480017557551,"legufruit mermelada de frutilla, Dia"
856,8480017696564,"Endulzante Dietético, Día"
857,7790040116634,"Alfajor glaseado, Tofi"
858,7790040882102,"Hogareñas Sésamo, Arcor,Hogareñas"
859,7790080037715,"Leche Parcialmente Descremada 0% Lactosa, SanCor"
860,7790787110513,"Yogurt descremado vainilla Ilolay x 190, Ilolay"
861,7791337096080,"Descremado Frutilla, La Serenísima,Yogurísimo"
862,7793360106064,"Multifruta, BC La Campagnola"
863,7793360106095,"BC Naranja, BC,La Campagnola"
864,7790315000880,"Levite Manzana, Danone,Villa del Sur"
865,7793046007722,"CormilloT arándanos Light, Dulcor,Cormillot"
866,7790040534605,"Formis, Arcor"
867,7751271019606,"Leche descremada sin lactosa, Gloria"
868,7795184006001,"Mermelada De Durazno, Noel"
869,0076625256726,"Almond Spread Caramel Flavor, Felices las Vacas"
870,7790174000625,"Medallones de verduras, Vegetalex"
871,7795735000335,"Bizcocho Dulce, Don Satur"
872,7795597000016,"Bocaditos de Trigo, Oro Lee's"
873,7790968912776,"mix semillado, full mix semillado"
874,7794520412650,"Maní pelado salado, Krachitos"
875,7791324000069,"Pitusas Sabor limón, Par-Nor,Pitusas"
876,17903107,"Palitos de queso, Pepsico"
877,7793733000203,"Tostadas Natural Tost Light, Marinozzi"
878,7792799000035,"Agua con Gas, Eco de los Andes"
879,79826518,Mix Peppercorn
880,7790045000457,", Granix"
881,7796373002934,"Salsa Picante Ají Cayena, La Parmesana"
882,7613035068414,"Café Instantáneo Dolca Suave, Nescafé"
883,7790147010217,vea fideos cabello de angel
884,7791337651227,"Yogurisimo Firme, La Serenisima"
885,7790895012259,"COCA COLA ZERO, Coca-Cola"
886,7794000001978,"Granola con Manzana y Canela, Maizena,Unilever"
887,7790071070127,"Tostadas light, Riera"
888,8480017114327,"poyato crisps sabor queso cheddar, Dia"
889,7790639002171,"style citrus, cunnington"
890,7795184119756,"Mermelada de Durazno, Noel,Arcor"
891,7790040999503,"Salvado, bagley"
892,7798136870019,"yogur, dahi"
